Date,Open,High,Low,Close ,Adj Close ,Volume
20-Sep-24,5.07,5.2,4.94,5.14,5.14,"15,212,900"
19-Sep-24,5.05,5.05,4.83,4.985,4.985,"13,877,200"
18-Sep-24,5.18,5.43,5.02,5.42,5.42,"17,013,800"
17-Sep-24,4.98,5.28,4.935,5.2,5.2,"15,766,000"
16-Sep-24,5.12,5.301,4.995,5.11,5.11,"13,235,500"
13-Sep-24,4.93,5.04,4.85,4.93,4.93,"12,353,400"
12-Sep-24,5.12,5.245,4.78,4.91,4.91,"21,836,700"
11-Sep-24,5.955,6.18,5.085,5.12,5.12,"27,931,400"
10-Sep-24,6.14,6.48,5.95,6.115,6.115,"11,971,500"
9-Sep-24,6.5,6.66,6.282,6.29,6.29,"15,630,000"
6-Sep-24,6.16,6.99,6.15,6.765,6.765,"21,465,100"
5-Sep-24,6.53,6.545,5.965,6.255,6.255,"21,258,400"
4-Sep-24,6.51,6.62,5.94,6.38,6.38,"26,398,200"
3-Sep-24,5.47,6.23,5.46,6.17,6.17,"24,413,900"
30-Aug-24,5.16,5.375,4.96,5.17,5.17,"19,364,800"
29-Aug-24,5.05,5.41,4.82,5.34,5.34,"29,422,500"
28-Aug-24,4.56,4.941,4.545,4.735,4.735,"32,613,100"
27-Aug-24,4.78,4.87,4.475,4.545,4.545,"14,407,100"
26-Aug-24,4.465,4.82,4.34,4.675,4.675,"18,637,000"
23-Aug-24,4.75,4.79,4.457,4.49,4.49,"12,578,700"
22-Aug-24,4.475,4.96,4.42,4.91,4.91,"12,621,400"
21-Aug-24,4.67,4.715,4.52,4.59,4.59,"9,661,200"
20-Aug-24,4.6,4.77,4.49,4.675,4.675,"11,329,200"
19-Aug-24,4.92,4.99,4.483,4.49,4.49,"12,116,300"
16-Aug-24,5.12,5.18,4.87,4.91,4.91,"13,308,700"
15-Aug-24,5.43,5.55,5.01,5.04,5.04,"10,546,800"
14-Aug-24,5.44,5.88,5.44,5.5,5.5,"11,982,400"
13-Aug-24,6.12,6.22,5.67,5.67,5.67,"10,399,700"
12-Aug-24,6.88,6.89,6.26,6.51,6.51,"12,899,400"
9-Aug-24,7.02,7.28,6.86,7.11,7.11,"7,936,000"
8-Aug-24,7.55,8.28,6.992,7.06,7.06,"13,660,200"
7-Aug-24,6.83,8.1,6.681,8.1,8.1,"14,705,900"
6-Aug-24,7.38,7.895,6.76,7.34,7.34,"18,236,800"
